1/12 7:45:21|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
1/12 7:45:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
1/12 7:45:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
1/12 7:45:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
1/12 7:45:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Disabling Plugins feature.
1/12 7:45:22|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
1/12 7:45:22|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
1/12 7:45:22|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
1/12 7:45:22|ChromeMainFrame|addPageNavigationListeners|method called.
1/12 7:45:22|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
1/12 7:45:22|ChromeRecordingHttpListener||constructor called.
1/12 7:45:22|ChromeMainFrame|createinitUI|constructor called.
1/12 7:45:22|TabContent|createComponents|method called.
1/12 7:45:22|TabContent|createBrowserContainer|method called.
1/12 7:45:22|TabContent|createToolBar|method called.
1/12 7:45:22|ProgressBar|initializeGUI|Method Called
1/12 7:45:22|ToolBar|createToolBarComponents|method called.
1/12 7:45:22|ToolBar|createAddressBar|method called.
1/12 7:45:22|ToolBar|createActionsPane|method called.
1/12 7:45:22|WebCFormattor||constructor called.
1/12 7:45:22|ScriptHTMLStart|Recording|Thread state =2
1/12 7:45:22|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://172.24.1.4:1323/
1/12 7:45:22|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://172.24.1.4:1323/  ===== Begin = 1673532922212
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = snapShot
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:22|ScriptHTMLStart|run|Setting thread state.State of Thread - 2
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/|method called.
1/12 7:45:22|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = request
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922236
1/12 7:45:22|Utils|convertToSecond method called|time = 527.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|ProgressBar|setVisible|Method Called. bool = true
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = response
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922524
1/12 7:45:22|Utils|convertToSecond method called|time = 815.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922524
1/12 7:45:22|Utils|convertToSecond method called|time = 815.0
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922524
1/12 7:45:22|Utils|convertToSecond method called|time = 815.0
1/12 7:45:22|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeSendHeaders for url = https://code.jquery.com/jquery-3.3.1.min.js|method called.
1/12 7:45:22|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:22|Utils|getURLTracker|urlString = https://code.jquery.com/jquery-3.3.1.min.js, requestOrResponce = request
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922575
1/12 7:45:22|Utils|convertToSecond method called|time = 866.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for time 0.051000000000000045 = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/static/css/main.css|method called.
1/12 7:45:22|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
