1/13 3:17:20|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
1/13 3:17:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
1/13 3:17:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
1/13 3:17:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
1/13 3:17:22|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Disabling Plugins feature.
1/13 3:17:22|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
1/13 3:17:22|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
1/13 3:17:22|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
1/13 3:17:22|ChromeMainFrame|addPageNavigationListeners|method called.
1/13 3:17:22|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
1/13 3:17:22|ChromeRecordingHttpListener||constructor called.
1/13 3:17:22|ChromeMainFrame|createinitUI|constructor called.
1/13 3:17:22|TabContent|createComponents|method called.
1/13 3:17:22|TabContent|createBrowserContainer|method called.
1/13 3:17:22|TabContent|createToolBar|method called.
1/13 3:17:22|ProgressBar|initializeGUI|Method Called
1/13 3:17:22|ToolBar|createToolBarComponents|method called.
1/13 3:17:22|ToolBar|createAddressBar|method called.
1/13 3:17:22|ToolBar|createActionsPane|method called.
1/13 3:17:22|WebCFormattor||constructor called.
1/13 3:17:22|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://172.24.1.4:8086/signin
1/13 3:17:22|ScriptHTMLStart|Recording|Thread state =2
1/13 3:17:22|ScriptHTMLStart|run|Setting thread state.State of Thread - 2
1/13 3:17:22|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://172.24.1.4:8086/signin  ===== Begin = 1673603242761
1/13 3:17:22|Utils|getURLTracker|urlString = http://172.24.1.4:8086/signin, requestOrResponce = snapShot
1/13 3:17:22|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/13 3:17:22|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/signin|method called.
1/13 3:17:22|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/13 3:17:22|ProgressBar|setVisible|Method Called. bool = true
1/13 3:17:22|Utils|getURLTracker|urlString = http://172.24.1.4:8086/signin, requestOrResponce = request
1/13 3:17:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603242808
1/13 3:17:22|Utils|convertToSecond method called|time = 1920.0
1/13 3:17:22|Utils|isSplit|Method called.
1/13 3:17:22|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:22|Utils|isSplit|Splitting for method GET = false
1/13 3:17:22|Utils|isSplit|result = false
1/13 3:17:22|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:22|Utils|isSplit|result = false
1/13 3:17:22|Utils|isSplitForURLType|Method called.
1/13 3:17:22|Utils|isSplitForURLType|value = false
1/13 3:17:22|Utils|isSplitForURLType|value = false
1/13 3:17:22|Utils|isSplit|isSplitForURLType = false
1/13 3:17:22|Utils|getURLTracker|urlString = http://172.24.1.4:8086/signin, requestOrResponce = response
